sample_id,source_puma,vintage,weight,household_size,household_income,vehicle_count,household_structure,household_older_adult_presence,householder_age_group,hincp_2018_dollars,vehicles_raw,hht_raw
pums_ca_08900_03809,0608900,2018,15,2,200000_plus,3,married_couple,no_65_plus,35_64,265600,3,1
pums_ca_08900_03810,0608900,2018,18,6,200000_plus,4_plus,married_couple,no_65_plus,35_64,203000,6,1
pums_ca_08900_03811,0608900,2018,2,2,45000_49999,2,married_couple,has_65_plus,65_plus,48200,2,1
pums_ca_08900_03812,0608900,2018,64,4,100000_124999,2,other_female_householder,no_65_plus,18_34,115700,2,3
pums_ca_08900_03813,0608900,2018,8,2,75000_99999,2,married_couple,no_65_plus,35_64,95000,2,1
pums_ca_08900_03814,0608900,2018,22,4,125000_149999,2,married_couple,no_65_plus,35_64,135000,2,1
pums_ca_08900_03815,0608900,2018,14,3,50000_59999,2,other_female_householder,no_65_plus,18_34,53000,2,3
pums_ca_08900_03816,0608900,2018,23,3,75000_99999,3,married_couple,no_65_plus,35_64,80000,3,1
pums_ca_08900_03817,0608900,2018,2,1,30000_34999,2,nonfamily_not_living_alone,has_65_plus,65_plus,34500,2,6
pums_ca_08900_03818,0608900,2018,22,2,60000_74999,3,other_female_householder,has_65_plus,35_64,60200,3,3
pums_ca_08900_03819,0608900,2018,13,4,60000_74999,2,married_couple,no_65_plus,35_64,61000,2,1
pums_ca_08900_03820,0608900,2018,5,1,200000_plus,1,nonfamily_not_living_alone,has_65_plus,65_plus,377200,1,6
pums_ca_08900_03821,0608900,2018,3,2,50000_59999,2,married_couple,has_65_plus,65_plus,51900,2,1
pums_ca_08900_03822,0608900,2018,15,1,75000_99999,1,nonfamily_not_living_alone,has_65_plus,65_plus,75100,1,6
pums_ca_08900_03823,0608900,2018,14,3,75000_99999,3,other_female_householder,has_65_plus,65_plus,82000,3,3
pums_ca_08900_03824,0608900,2018,12,1,45000_49999,1,nonfamily_not_living_alone,has_65_plus,65_plus,45000,1,6
pums_ca_08900_03825,0608900,2018,7,2,lt_10000,2,married_couple,has_65_plus,65_plus,850,2,1
pums_ca_08900_03826,0608900,2018,14,3,60000_74999,2,other_male_householder,no_65_plus,35_64,65000,2,2
pums_ca_08900_03827,0608900,2018,37,2,75000_99999,1,married_couple,has_65_plus,65_plus,91000,1,1
pums_ca_08900_03828,0608900,2018,28,2,125000_149999,3,married_couple,no_65_plus,18_34,126000,3,1
